Molecule Name,CDD Number,SMILES,Canonical PostEra ID,stereochem comments,Covalent Warhead,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Run Date,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0013129,CDD-2385548,Fc1c(Cl)cccc1CSc1ccccc1NS(=O)(=O)c1cc(Cl)sc1Cl,LON-WEI-4d77710c-64,Achiral,False,FC=1C(Cl)=CC=CC1CSC=2C=CC=CC2NS(=O)(=O)C=3C=C(Cl)SC3Cl,O=S(=O)(Nc1ccccc1SCc1cccc(Cl)c1F)c1cc(Cl)sc1Cl,shipment_SMILES,2020-11-30,2.23,1.44,3.44,0.805,1.3
CVD-0013126,CDD-948657,[O-][N+](=O)c1cnc(Sc2nnc(-c3ccco3)n2-c2ccc(OCc3ccccc3)cc2)s1,LON-WEI-4d77710c-61,Achiral,False,[O-][N+](=O)C1=CN=C(SC2=NN=C(C3=CC=CO3)N2C=4C=CC(OCC=5C=CC=CC5)=CC4)S1,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccco3)n2-c2ccc(OCc3ccccc3)cc2)s1,shipment_SMILES,2020-11-30,7.30,5.41,9.83,1.24,1.1
CVD-0013121,CDD-2385552,CC(C)Cn1cc(NC(=O)NCCc2c(C)noc2C)c2ccccc2c1=O,LON-WEI-4d77710c-51,Achiral,False,Cl.Cl.Cl.CC(C)CN1C=C(NC(=O)NCCC=2C(C)=NOC2C)C=3C=CC=CC3C1=O,Cc1noc(C)c1CCNC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12.Cl.Cl.Cl,shipment_SMILES,2020-11-30,27.7,26.5,28.9,2.56,1.1
CVD-0013118,CDD-2385571,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,LON-WEI-4d77710c-44,Achiral,False,CC(C)CN1C=C(NC(=O)NCC2=CC=CO2)C=3C=CC=CC3C1=O,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,shipment_SMILES,2020-11-30,29.6,24.0,36.6,1.78,2.1
CVD-0013113,CDD-2385570,CC(CCc1ccco1)NC(=O)Nc1cn(C)c(=O)c2ccccc12,LON-WEI-4d77710c-39,Racemic or presumed racemic or meso,False,CC(CCC1=CC=CO1)NC(=O)NC2=CN(C)C(=O)C=3C=CC=CC23,CC(CCc1ccco1)NC(=O)Nc1cn(C)c(=O)c2ccccc12,shipment_SMILES,2020-11-30,44.5,40.6,48.7,4.88,2.1
CVD-0013109,CDD-2385591,N#Cc1ccc(CN2CCC(CC2)C2CCNC2)cc1,LON-WEI-4d77710c-32,Racemic or presumed racemic or meso,False,N#CC=1C=CC(CN2CCC(CC2)C3CCNC3)=CC1,N#Cc1ccc(CN2CCC(C3CCNC3)CC2)cc1,shipment_SMILES,2020-11-30,2.06,1.90,2.23,1.78,1.1
CVD-0013103,CDD-2385594,CCOC(=O)c1cc(sc1NC(=O)Cc1csc(n1)-c1ccccc1)-c1ccccc1,LON-WEI-4d77710c-24,Achiral,False,CCOC(=O)C=1C=C(SC1NC(=O)CC2=CSC(=N2)C=3C=CC=CC3)C=4C=CC=CC4,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)Cc1csc(-c2ccccc2)n1,shipment_SMILES,2020-11-30,4.66,4.16,5.21,1.38,1.1
CVD-0013098,CDD-207193,OC(=O)[C@H](N1Cc2ccccc2C1=O)c1ccccc1,LON-WEI-4d77710c-19,Single known enantiomer,False,OC(=O)[C@H](N1CC=2C=CC=CC2C1=O)C=3C=CC=CC3,O=C(O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,shipment_SMILES,2020-11-30,1.78,1.60,1.98,1.96,1.1
CVD-0013094,CDD-2385605,COC(=O)c1c(C)n(c2ccc(cc12)N(C(=O)c1ccco1)S(C)(=O)=O)S(C)(=O)=O,LON-WEI-4d77710c-11,Achiral,False,COC(=O)C1=C(C)N(C=2C=CC(=CC12)N(C(=O)C3=CC=CO3)S(=O)(=O)C)S(=O)(=O)C,COC(=O)c1c(C)n(S(C)(=O)=O)c2ccc(N(C(=O)c3ccco3)S(C)(=O)=O)cc12,shipment_SMILES,2020-11-30,0.935,0.767,1.14,1.03,1.1
CVD-0013093,CDD-1469004,Clc1cnc(nc1C(=O)NCc1ccc2OCOc2c1)S(=O)(=O)Cc1ccccc1,LON-WEI-4d77710c-10,Achiral,False,ClC=1C=NC(=NC1C(=O)NCC=2C=CC=3OCOC3C2)S(=O)(=O)CC=4C=CC=CC4,O=C(NCc1ccc2c(c1)OCO2)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,shipment_SMILES,2020-11-30,1.40,1.29,1.51,1.52,1.1
CVD-0013091,CDD-2385606,CCOC(=O)c1c(C)n(c2ccc(cc12)N(C(=O)c1ccco1)S(C)(=O)=O)S(C)(=O)=O,LON-WEI-4d77710c-8,Achiral,False,CCOC(=O)C1=C(C)N(C=2C=CC(=CC12)N(C(=O)C3=CC=CO3)S(=O)(=O)C)S(=O)(=O)C,CCOC(=O)c1c(C)n(S(C)(=O)=O)c2ccc(N(C(=O)c3ccco3)S(C)(=O)=O)cc12,shipment_SMILES,2020-11-30,0.282,0.258,0.307,1.00,1.1
CVD-0013086,CDD-1155750,Fc1ccc(cc1)-c1nc(c(o1)S(=O)(=O)Cc1ccccc1F)S(=O)(=O)c1ccccc1,LON-WEI-4d77710c-2,Achiral,False,FC=1C=CC(=CC1)C2=NC(=C(O2)S(=O)(=O)CC=3C=CC=CC3F)S(=O)(=O)C=4C=CC=CC4,O=S(=O)(Cc1ccccc1F)c1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccccc1,shipment_SMILES,2020-11-30,0.397,0.304,0.519,1.38,1.1
CVD-0013084,"",CN(C)c1ccc(cc1)N(Cc1ccn[nH]1)C(=O)Cn1nnc2ccccc12,PET-UNK-7374c256-2,"",False,CN(C)C=1C=CC(=CC1)N(CC2=CC=NN2)C(=O)CN3N=NC=4C=CC=CC34,CN(C)c1ccc(N(Cc2ccn[nH]2)C(=O)Cn2nnc3ccccc32)cc1,shipment_SMILES,2020-10-04,15.9,9.15,27.7,0.784,1.3
CVD-0013081,"",COc1ccc(cc1)-c1cc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)on1,CHO-MSK-6e55470f-22,Achiral,False,COC=1C=CC(=CC1)C=2C=C(COC=3C=C(Cl)C=C(CC(=O)NC=4C=NC=CC4C)C3)ON2,COc1ccc(-c2cc(COc3cc(Cl)cc(CC(=O)Nc4cnccc4C)c3)on2)cc1,shipment_SMILES,2021-01-04,81.5,54.1,123,0.624,2.3
CVD-0013081,"",COc1ccc(cc1)-c1cc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)on1,CHO-MSK-6e55470f-22,Achiral,False,COC=1C=CC(=CC1)C=2C=C(COC=3C=C(Cl)C=C(CC(=O)NC=4C=NC=CC4C)C3)ON2,COc1ccc(-c2cc(COc3cc(Cl)cc(CC(=O)Nc4cnccc4C)c3)on2)cc1,shipment_SMILES,2020-09-30,62.7,38.1,103,0.553,2.3
CVD-0013066,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2nnc(o2)C2CCCCC2)c1,CHO-MSK-6e55470f-7,Achiral,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(OCC3=NN=C(O3)C4CCCCC4)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2nnc(C3CCCCC3)o2)c1,shipment_SMILES,2020-09-30,20.6,13.6,31.3,0.694,2.3
CVD-0013064,"",Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,CHO-MSK-6e55470f-5,Achiral,False,CC1=NOC(COC=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2)=N1,Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,shipment_SMILES,2020-09-24,23.9,20.2,28.3,1.19,2.1
CVD-0013059,CDD-2385631,CCC(=O)Nc1ccc(cc1)N(Cc1cscn1)C(=O)Cn1nnc2ccccc12,ALP-POS-87c86d55-2,Achiral,False,CCC(=O)NC=1C=CC(=CC1)N(CC2=CSC=N2)C(=O)CN3N=NC=4C=CC=CC34,CCC(=O)Nc1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc32)cc1,shipment_SMILES,2020-11-08,25.0,21.4,29.1,1.32,2.1
CVD-0013058,"",CN(C)c1ccc(cc1)N(Cc1cscn1)C(=O)Cn1nnc2ccccc12,ALP-POS-87c86d55-1,Achiral,False,CN(C)C=1C=CC(=CC1)N(CC2=CSC=N2)C(=O)CN3N=NC=4C=CC=CC34,CN(C)c1ccc(N(Cc2cscn2)C(=O)Cn2nnc3ccccc32)cc1,shipment_SMILES,2020-10-25,4.85,4.58,5.14,1.11,1.1
CVD-0013057,CDD-1200279,O=C1OC(=N\C1=C/c1ccc(s1)N1CCOCC1)c1cccs1,MAT-POS-fa06b69f-6,Achiral,False,O=C1OC(=NC1=CC2=CC=C(S2)N3CCOCC3)C4=CC=CS4,O=C1OC(c2cccs2)=NC1=Cc1ccc(N2CCOCC2)s1,shipment_SMILES,2020-09-30,0.696,0.478,1.01,0.662,1.3
CVD-0013045,"",O=C(Cc1n[nH]c2ccccc12)N(Cc1ccccc1)c1ccc(cc1)N1CCCCC1=O,ALP-POS-a3de0cb1-16,"",False,O=C(CC1=NNC=2C=CC=CC12)N(CC=3C=CC=CC3)C=4C=CC(=CC4)N5CCCCC5=O,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Cc2n[nH]c3ccccc23)cc1,shipment_SMILES,2020-10-04,39.4,4.94,315,0.333,2.3
CVD-0013042,"",Clc1cccc(CC(C(=O)Nn2nnc3ccccc23)c2ccc(cc2)N2CCCCC2=O)c1,ALP-POS-a3de0cb1-13,Racemic or presumed racemic or meso,False,ClC=1C=CC=C(CC(C(=O)NN2N=NC=3C=CC=CC23)C=4C=CC(=CC4)N5CCCCC5=O)C1,O=C(Nn1nnc2ccccc21)C(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2=O)cc1,shipment_SMILES,2020-10-18,50.9,48.0,54.0,1.12,2.1
CVD-0013031,"",CCC(=O)Nc1ccc(cc1)N(Cc1ccccc1)C(=O)Nn1nnc2ccccc12,ALP-POS-a3de0cb1-1,Achiral,False,CCC(=O)NC=1C=CC(=CC1)N(CC=2C=CC=CC2)C(=O)NN3N=NC=4C=CC=CC34,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1,shipment_SMILES,2020-11-30,3.59,3.39,3.80,1.08,1.1
CVD-0012987,"",CC(=O)N1CCN(CC(=O)Nc2cncc3ccccc23)CC1,ALP-POS-6747fa38-1,"",False,"","","",2020-09-30,51.7,21.9,122,0.733,2.3
CVD-0012966,"",COC(=O)C(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,MAT-POS-1e5f28a7-1,Racemic or presumed racemic or meso,False,COC(=O)C(C(=O)NC=1C=NC=CC1C)C=2C=CC=C(Cl)C2,COC(=O)C(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,shipment_SMILES,2020-08-31,23.7,20.2,27.9,1.20,2.1
CVD-0012965,CDD-2563832,Clc1cccc(CC(=O)Nc2cncc3nc[nH]c23)c1,MAT-POS-f7918075-8,Achiral,False,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3N=CNC23)C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2nc[nH]c12,shipment_SMILES,2020-09-30,13.3,11.4,15.4,0.890,1.1
CVD-0012963,CDD-2563831,Clc1cccc(CC(=O)Nc2cncc3ccncc23)c1,MAT-POS-f7918075-5,Achiral,False,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CN=CC23)C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2ccncc12,shipment_SMILES,2020-09-08,4.27,3.98,4.59,1.14,1.1
CVD-0012962,CDD-2563678,Clc1ccc2OCC(C(=O)Nc3cncc4ccccc34)c2c1,MAT-POS-f7918075-2,"",False,"","","",2020-09-30,0.764,0.707,0.826,0.999,1.1
CVD-0012952,"",O=C(Cn1nnc2ccccc12)N(Cc1ccccc1)c1ccc(cc1)N1CCOCC1,ALP-POS-6d04362c-5,Achiral,False,O=C(CN1N=NC=2C=CC=CC12)N(CC=3C=CC=CC3)C=4C=CC(=CC4)N5CCOCC5,O=C(Cn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1,shipment_SMILES,2020-11-08,19.8,14.9,26.2,1.23,1.1
CVD-0012951,"",O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)N1CCOCC1,ALP-POS-6d04362c-4,Achiral,False,O=C(CN1N=NC=2C=CC=CC12)N(CC=3C=CSC3)C=4C=CC(=CC4)N5CCOCC5,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1,shipment_SMILES,2020-11-08,11.6,9.95,13.6,1.13,1.1
CVD-0012950,"",O=C(Cn1nnc2ccccc12)N(Cc1ccsc1)c1ccc(cc1)N1CCCCC1,ALP-POS-6d04362c-3,Achiral,False,O=C(CN1N=NC=2C=CC=CC12)N(CC=3C=CSC3)C=4C=CC(=CC4)N5CCCCC5,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1,shipment_SMILES,2020-11-22,6.56,5.64,7.63,0.942,1.1
CVD-0012949,CDD-2385624,CN(C)c1ccc(cc1)N(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc12,ALP-POS-6d04362c-2,Achiral,False,CN(C)C=1C=CC(=CC1)N(CC=2C=CC=C(Cl)C2)C(=O)CN3N=NC=4C=CC=CC34,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,shipment_SMILES,2020-11-22,0.497,0.424,0.582,1.15,1.1
CVD-0012948,"",CN(C)c1ccc(cc1)N(Cc1ccccc1)C(=O)Cn1nnc2ccccc12,ALP-POS-6d04362c-1,Achiral,False,CN(C)C=1C=CC(=CC1)N(CC=2C=CC=CC2)C(=O)CN3N=NC=4C=CC=CC34,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Cn2nnc3ccccc32)cc1,shipment_SMILES,2020-11-22,5.05,3.93,6.50,1.17,1.1
CVD-0012946,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(\C=C(\c2ccccc2)C(F)(F)F)c1,MAT-POS-f42f3716-8,Achiral,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(/C=C(/C=3C=CC=CC3)\C(F)(F)F)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(/C=C(/c2ccccc2)C(F)(F)F)c1,shipment_SMILES,2020-09-16,22.8,20.3,25.6,1.36,2.1
CVD-0012945,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(c1)-c1cnn(C)c1C(F)F,MAT-POS-f42f3716-7,Achiral,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=NN(C)C3C(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnn(C)c2C(F)F)c1,shipment_SMILES,2020-09-24,19.3,17.3,21.5,1.18,2.1
CVD-0012944,"",Cc1ccc(c(F)c1F)-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,MAT-POS-f42f3716-6,Achiral,False,CC=1C=CC(=C(F)C1F)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C)c(F)c2F)c1,shipment_SMILES,2020-09-16,31.9,28.0,36.5,0.986,2.1
CVD-0012943,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(c1)-c1ccc(cc1)C1(C)CCO1,MAT-POS-f42f3716-5,Racemic or presumed racemic or meso,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3)C4(C)CCO4,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3(C)CCO3)cc2)c1,shipment_SMILES,2020-09-24,8.95,7.86,10.2,1.06,1.1
CVD-0012942,"",CCc1cc(F)ccc1-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,MAT-POS-f42f3716-4,Achiral,False,CCC=1C=C(F)C=CC1C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,CCc1cc(F)ccc1-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,shipment_SMILES,2020-09-16,31.6,26.6,37.5,0.822,2.1
CVD-0012941,"",COC(=O)c1ccc(c(OC)c1)-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,MAT-POS-f42f3716-3,Achiral,False,COC(=O)C=1C=CC(=C(OC)C1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,COC(=O)c1ccc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)c(OC)c1,shipment_SMILES,2021-01-04,16.8,8.98,31.3,0.663,2.3
CVD-0012941,"",COC(=O)c1ccc(c(OC)c1)-c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,MAT-POS-f42f3716-3,Achiral,False,COC(=O)C=1C=CC(=C(OC)C1)C=2C=C(Cl)C=C(CC(=O)NC=3C=NC=CC3C)C2,COC(=O)c1ccc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)c(OC)c1,shipment_SMILES,2020-09-16,9.62,8.74,10.6,1.30,1.1
CVD-0012939,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(c1)-c1ccc(cc1)C1CC1(F)F,MAT-POS-f42f3716-1,Racemic or presumed racemic or meso,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(C2)C=3C=CC(=CC3)C4CC4(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C3CC3(F)F)cc2)c1,shipment_SMILES,2020-09-16,8.44,6.35,11.2,0.930,1.1
CVD-0012938,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C#N)c1,MAT-POS-044491d2-7,Achiral,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NCC(C)(C)C#N)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C#N)c1,shipment_SMILES,2020-11-08,36.5,31.4,42.5,1.27,2.1
CVD-0012937,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2(C)CCC(F)(F)CC2)c1,MAT-POS-044491d2-6,Achiral,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3(C)CCC(F)(F)CC3)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2(C)CCC(F)(F)CC2)c1,shipment_SMILES,2020-11-15,14.7,12.7,17.0,1.21,1.1
CVD-0012934,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC2C(F)(F)F)c1,MAT-POS-044491d2-3,Diastereomeric mixture,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3CC3C(F)(F)F)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC2C(F)(F)F)c1,shipment_SMILES,2020-11-15,25.3,20.9,30.6,1.29,2.1
CVD-0012933,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCC(F)(F)C2O)c1,MAT-POS-044491d2-2,Racemic or presumed racemic or meso,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3CCC(F)(F)C3O)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCC(F)(F)C2O)c1,shipment_SMILES,2020-10-11,23.0,22.1,24.0,1.08,2.1
CVD-0012932,"",Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCCC2O)c1,MAT-POS-044491d2-1,Racemic or presumed racemic or meso,False,CC=1C=CN=CC1NC(=O)CC=2C=C(Cl)C=C(NC3CCCC3O)C2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCCC2O)c1,shipment_SMILES,2020-09-30,19.7,16.5,23.5,0.970,2.1
CVD-0012928,"",Clc1cccc(CCC(=O)Nc2cncc3ccccc23)c1,ALP-POS-f13221e1-3,Achiral,False,ClC=1C=CC=C(CCC(=O)NC=2C=NC=C3C=CC=CC23)C1,O=C(CCc1cccc(Cl)c1)Nc1cncc2ccccc12,shipment_SMILES,2020-09-08,20.8,17.5,24.7,1.15,2.1
CVD-0012927,"",Clc1cccc(OCC(=O)Nc2cncc3ccccc23)c1,ALP-POS-f13221e1-2,Achiral,False,ClC=1C=CC=C(OCC(=O)NC=2C=NC=C3C=CC=CC23)C1,O=C(COc1cccc(Cl)c1)Nc1cncc2ccccc12,shipment_SMILES,2020-09-08,11.2,9.97,12.5,1.07,1.1
CVD-0012924,CDD-1275672,Clc1cc(Br)ccc1NC(=O)Cn1cnc(n1)C#N,MAT-POS-e10a589d-4,Achiral,False,ClC=1C=C(Br)C=CC1NC(=O)CN2C=NC(C#N)=N2,N#Cc1ncn(CC(=O)Nc2ccc(Br)cc2Cl)n1,shipment_SMILES,2020-08-25,15.7,11.0,22.6,0.698,2.3
CVD-0012923,CDD-2563651,OCCn1c(CSc2nc3ccccc3o2)nc2ccc(Cl)cc12,MAT-POS-e10a589d-1,Achiral,False,OCCN1C(CSC2=NC=3C=CC=CC3O2)=NC=4C=CC(Cl)=CC14,OCCn1c(CSc2nc3ccccc3o2)nc2ccc(Cl)cc21,shipment_SMILES,2020-08-25,0.327,0.253,0.422,1.66,1.1
CVD-0012826,CDD-2567491,Cn1nc(nc2-c1nc(=O)n(C)c2=O)-c1ccc(cc1)C(F)(F)F,MAT-POS-1e0c1c67-1,Achiral,False,CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C=3C=CC(=CC3)C(F)(F)F,Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2,shipment_SMILES,2020-08-25,2.40,1.96,2.93,2.13,1.1
CVD-0012812,"",CN(C(=O)Cc1cccc(Cl)c1)c1cncc2ccccc12,MAT-POS-bb423b95-7,Achiral,False,CN(C(=O)CC=1C=CC=C(Cl)C1)C=2C=NC=C3C=CC=CC23,CN(C(=O)Cc1cccc(Cl)c1)c1cncc2ccccc12,shipment_SMILES,2020-09-08,34.4,32.5,36.3,1.17,2.1
CVD-0012810,CDD-2563828,CC(C)c1ccncc1NC(=O)Cc1cccc(Cl)c1,MAT-POS-bb423b95-5,Achiral,False,CC(C)C=1C=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,CC(C)c1ccncc1NC(=O)Cc1cccc(Cl)c1,shipment_SMILES,2020-09-08,19.5,18.0,21.2,1.15,2.1
CVD-0012809,CDD-2563827,Clc1cccc(CC(=O)Nc2cncc3cccnc23)c1,MAT-POS-bb423b95-2,Achiral,False,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=CC=NC23)C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cccnc12,shipment_SMILES,2020-09-08,7.02,6.58,7.48,0.983,1.1
CVD-0012808,CDD-2563826,Clc1cccc(CC(=O)Nc2cncc3cnccc23)c1,MAT-POS-bb423b95-1,Achiral,False,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3C=NC=CC23)C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnccc12,shipment_SMILES,2020-09-08,7.94,6.70,9.42,0.965,1.1
CVD-0012807,"",OC(Cc1cccc(Cl)c1)Cn1cncn1,MAT-POS-6da3605a-2,Racemic or presumed racemic or meso,False,OC(CC=1C=CC=C(Cl)C1)CN2C=NC=N2,OC(Cc1cccc(Cl)c1)Cn1cncn1,shipment_SMILES,2020-08-17,65.3,57.5,74.2,1.08,2.1
CVD-0012805,"",COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1,MAT-POS-6344a35d-1,Achiral,False,COC=1C=CC=C(OC=2C=C(Cl)C=C(NC(=O)CC=3C=NC=C4C=CC=CC34)C2)N1,COc1cccc(Oc2cc(Cl)cc(NC(=O)Cc3cncc4ccccc34)c2)n1,shipment_SMILES,2020-09-24,3.78,2.96,4.83,1.14,1.1
CVD-0012801,CDD-2563677,Clc1ccc2OCCC(C(=O)Nc3cncc4ccccc34)c2c1,VLA-UCB-1dbca3b4-15,Racemic or presumed racemic or meso,False,ClC=1C=CC=2OCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C(Nc1cncc2ccccc12)C1CCOc2ccc(Cl)cc21,shipment_SMILES,2020-09-08,0.359,0.334,0.387,1.06,1.1
CVD-0012742,"",Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccnc2)c1,MAT-POS-9ff17035-3,Achiral,False,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC=4C=CC=NC4)C1,O=C(Cc1cc(Cl)cc(Oc2cccnc2)c1)Nc1cncc2ccccc12,shipment_SMILES,2021-08-11,1.17,1.05,1.31,1.24,1.1
CVD-0012742,"",Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccnc2)c1,MAT-POS-9ff17035-3,Achiral,False,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC=4C=CC=NC4)C1,O=C(Cc1cc(Cl)cc(Oc2cccnc2)c1)Nc1cncc2ccccc12,shipment_SMILES,2021-01-04,1.57,1.38,1.79,1.13,1.1
CVD-0012742,"",Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccnc2)c1,MAT-POS-9ff17035-3,Achiral,False,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC=4C=CC=NC4)C1,O=C(Cc1cc(Cl)cc(Oc2cccnc2)c1)Nc1cncc2ccccc12,shipment_SMILES,2020-10-11,1.14,1.08,1.20,1.04,1.1
CVD-0012741,"",Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(Oc2cccc(=O)[nH]2)c1,MAT-POS-9ff17035-2,Achiral,False,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC4=CC=CC(=O)N4)C1,O=C(Cc1cc(Cl)cc(Oc2cccc(=O)[nH]2)c1)Nc1cncc2ccccc12,shipment_SMILES,2020-09-30,1.98,1.87,2.09,0.996,1.1
CVD-0012740,"",Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(OC2CCC(=O)N2)c1,MAT-POS-9ff17035-1,Racemic or presumed racemic or meso,False,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(OC4CCC(=O)N4)C1,O=C(Cc1cc(Cl)cc(OC2CCC(=O)N2)c1)Nc1cncc2ccccc12,shipment_SMILES,2020-09-30,85.9,65.9,112,0.895,2.1
CVD-0012049,CDD-2563824,Clc1cccc(CC(=O)Nc2cncc3ncccc23)c1,MIC-UNK-08cd9c58-1,Achiral,False,ClC=1C=CC=C(CC(=O)NC=2C=NC=C3N=CC=CC23)C1,O=C(Cc1cccc(Cl)c1)Nc1cncc2ncccc12,shipment_SMILES,2020-09-16,67.1,56.6,79.6,1.15,2.1
